.ki, 1.751, 3.502, 5.253, 7.004, 8.755, 10.506, 12.257, 14.008, 15.759, 17.51, 28.017
.pro, 3.99, 22.34, 40.69, 59.04, 77.39, 95.74, 114.09, 132.44, 150.79, 169.14, 669.6
.com.ng, 4.99, 9.98, 14.97, 19.96, 24.95, 29.94, 34.93, 39.92, 44.91, 49.9, -
.nl, 5.99, 11.98, 17.97, 23.96, 29.95, 35.94, 41.93, 47.92, 53.91, 59.9, 420.0
.org, 7.48, 19.96, 32.44, 44.92, 57.4, 69.88, 82.36, 94.84, 107.32, 119.8, 420.0
.com, 8.49, 16.98, 25.47, 33.96, 42.45, 50.94, 59.43, 67.92, 76.41, 84.9, 399.0
.us, 8.49, 16.98, 25.47, 33.96, 42.45, 50.94, 59.43, 67.92, 76.41, 84.9, 399.0
.net, 9.95, 19.9, 29.85, 39.8, 49.75, 59.7, 69.65, 79.6, 89.55, 99.5, 420.0
.com.de, 9.99, 19.98, 29.97, 39.96, 49.95, 59.94, 69.93, 79.92, 89.91, 99.9, 686.08
.org.ng, 9.99, 19.98, 29.97, 39.96, 49.95, 59.94, 69.93, 79.92, 89.91, 99.9, -
.uk, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 560.0
.biz.pl, 11.27, 22.54, 33.81, 45.08, 56.35, 67.62, 78.89, 90.16, 101.43, 112.7, 180.32
.net.pl, 11.27, 22.54, 33.81, 45.08, 56.35, 67.62, 78.89, 90.16, 101.43, 112.7, 180.32
.co.uk, 13.69, 27.38, 41.07, 54.76, 68.45, 82.14, 95.83, 109.52, 123.21, 136.9, 399.0
.org.uk, 13.69, 27.38, 41.07, 54.76, 68.45, 82.14, 95.83, 109.52, 123.21, 136.9, 519.04
.co.nl, 13.77, 27.54, 41.31, 55.08, 68.85, 82.62, 96.39, 110.16, 123.93, 137.7, 320.32
.tel, 14.84, 29.68, 44.52, 59.36, 74.2, 89.04, 103.88, 118.72, 133.56, 148.4, 237.44
.cx, 14.95, 29.9, 44.85, 59.8, 74.75, 89.7, 104.65, 119.6, 134.55, 149.5, 560.32
.biz, 14.99, 29.98, 44.97, 59.96, 74.95, 89.94, 104.93, 119.92, 134.91, 149.9, 420.0
.移动, 15.0, 30.0, 45.0, 60.0, 75.0, 90.0, 105.0, 120.0, 135.0, 150.0, 640.0
.ca, 15.03, 30.06, 45.09, 60.12, 75.15, 90.18, 105.21, 120.24, 135.27, 150.3, 540.48
.wf, 15.15, 30.3, 45.45, 60.6, 75.75, 90.9, 106.05, 121.2, 136.35, 151.5, 542.4
.es, 16.53, 33.06, 49.59, 66.12, 82.65, 99.18, 115.71, 132.24, 148.77, 165.3, 420.0
.co.at, 18.96, 37.92, 56.88, 75.84, 94.8, 113.76, 132.72, 151.68, 170.64, 189.6, 603.36
.or.at, 18.96, 37.92, 56.88, 75.84, 94.8, 113.76, 132.72, 151.68, 170.64, 189.6, 603.36
.lt, 19.12, 38.24, 57.36, 76.48, 95.6, 114.72, 133.84, 152.96, 172.08, 191.2, 405.92
.рф, 19.44, 38.88, 58.32, 77.76, 97.2, 116.64, 136.08, 155.52, 174.96, 194.4, 511.04
.ar.com, 20.25, 40.5, 60.75, 81.0, 101.25, 121.5, 141.75, 162.0, 182.25, 202.5, 324.0
.com.lc, 22.77, 45.54, 68.31, 91.08, 113.85, 136.62, 159.39, 182.16, 204.93, 227.7, 364.32
.net.lc, 22.77, 45.54, 68.31, 91.08, 113.85, 136.62, 159.39, 182.16, 204.93, 227.7, 364.32
.co.cm, 24.47, 48.94, 73.41, 97.88, 122.35, 146.82, 171.29, 195.76, 220.23, 244.7, 391.52
.ie, 24.99, 49.98, 74.97, 99.96, 124.95, 149.94, 174.93, 199.92, 224.91, 249.9, -
.co, 25.0, 50.0, 75.0, 100.0, 125.0, 150.0, 175.0, 200.0, 225.0, 250.0, 620.0
.org.ht, 25.3, 50.6, 75.9, 101.2, 126.5, 151.8, 177.1, 202.4, 227.7, 253.0, 404.8
.qc.com, 25.3, 50.6, 75.9, 101.2, 126.5, 151.8, 177.1, 202.4, 227.7, 253.0, 404.8
.com.bz, 28.18, 56.36, 84.54, 112.72, 140.9, 169.08, 197.26, 225.44, 253.62, 281.8, 450.88
.net.bz, 28.18, 56.36, 84.54, 112.72, 140.9, 169.08, 197.26, 225.44, 253.62, 281.8, 450.88
